FILE;TIPO;IMAGES;FONTS;SIZE;CREATOR;PRODUCER;TAGGED;FORM;PAGES;ENCRYPTED;OPTIMIZED;PAGESIZE;VERSION;ROTATION;PAGELINESFIRST;PAGELINESSECOND;PAGELINESLAST;FWORDS1;TWORDS1
F404;ocr;4;10;2379163;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;5;no;yes;595 x 842 pts (A4);1.4;0;30;1;1;1;107
F405;txt;3;5;103460;none;EVO HTML to PDF Converter 5.6 ;no;AcroForm;3;no;yes;612 x 842 pts;1.5;0;60;44;8;24;64
F406;txt;26;34;7047792;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;32;no;no;595.28 x 841.89 pts (A4);1.4;0;33;86;86;7;193
F407;txt;3;13;191016;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F408;txt;1;2;24515;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;30;5;5;23;330
F409;txt;1;2;25413;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;30;22;22;22;328
F410;txt;1;2;25408;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;29;20;20;21;320
F411;txt;1;2;25361;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;31;21;21;18;315
F412;txt;4;1;123644;Xerox WorkCentre 5330 ;Xerox WorkCentre 5330 ;no;none;4;no;yes;595.44 x 842.4 pts (A4);1.3;0;38;29;8;24;328
F413;txt;0;4;117789;Microsoft® Office Word 2007 ;Microsoft® Office Word 2007 ;yes;none;2;no;yes;595.32 x 842.04 pts (A4);1.5;0;37;17;17;4;212
F414;txt;0;5;152806;Microsoft® Office Word 2007 ;Microsoft® Office Word 2007 ;yes;none;2;no;yes;595.32 x 842.04 pts (A4);1.5;0;41;12;12;8;271
F415;txt;4;1;128729;Xerox WorkCentre 5330 ;Xerox WorkCentre 5330 ;no;none;4;no;yes;595.44 x 842.4 pts (A4);1.3;0;45;40;157;12;248
F416;ocr;2;0;52360;Xerox WorkCentre 5645 ;Xerox WorkCentre 5645 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F417;ocr;2;0;55622;PScript5.dll Version 5.2.2 ;Acrobat Distiller 9.0.0 (Windows) ;no;none;2;no;yes;595 x 842 pts (A4);1.5;0;1;1;1;0;0
F418;txt;3;5;127244;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;3;no;yes;595 x 842 pts (A4);1.4;0;42;27;50;14;230
F419;ocr;1;0;85598;none;none;no;none;1;no;yes;595.44 x 842.04 pts (A4);1.4;0;1;0;0;0;0
F420;ocr;1;0;58883;Sistemas Juridicos ;Gateway Software Productions, PDF_OCX v1.5 ;no;none;1;no;yes;599.04 x 841.68 pts;1.4;0;1;0;0;0;0
F421;ocr;37;0;723492;PScript5.dll Version 5.2.2 ;Acrobat Distiller 8.0.0 (Windows) ;no;none;37;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F422;ocr;2;0;587993;Canon iR C3580                   ;Canon iR C3580                   ;no;none;2;no;yes;594.36 x 840.6 pts;1.3;0;1;1;1;0;0
F423;txt;8;7;51269;none;iText 2.0.8 (by lowagie.com) ;no;none;3;no;yes;595 x 842 pts (A4);1.5;0;22;86;51;7;74
F424;txt;4;7;22753;none;iText 2.0.8 (by lowagie.com) ;no;none;2;no;yes;595 x 842 pts (A4);1.5;0;17;57;57;7;55
F425;txt;-2;-2;;none;none;no;none;0;no;no;none;none;0;1;0;0;0;0
F426;ocr;2;0;89177;Sistemas Juridicos ;Gateway Software Productions, PDF_OCX v1.5 ;no;none;2;no;yes;599.04 x 841.68 pts;1.4;0;1;1;1;0;0
F427;ocr;3;4;154951;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;3;no;no;841.68 x 595.08 pts;1.4;270;3;47;2;0;10
F428;ocr;1;0;24309;Canon iR1740 ;Canon iR1740 ;no;none;1;no;yes;583.68 x 843.36 pts;1.3;0;1;0;0;0;0
F429;ocr;1;0;174045;Canon iR-ADV 6055                ;Adobe PSL 1.1e for Canon ;no;none;1;no;yes;594.36 x 840.78 pts;1.4;0;1;0;0;0;0
F430;ocr;1;0;29214;DocuScan - NewInformatics ;none;no;none;1;no;yes;592 x 842 pts;1.4;0;1;0;0;0;0
