FILE;LOSS;TIPO;IMAGES;FONTS;SIZE;CREATOR;PRODUCER;TAGGED;FORM;PAGES;ENCRYPTED;OPTIMIZED;PAGESIZE;VERSION;ROTATION;PAGELINESFIRST;PAGELINESSECOND;PAGELINESLAST;FWORDS1;TWORDS1
F195;.03;txt;3;14;328305;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;no;595 x 842 pts (A4);1.4;90;34;34;21;8;107
F196;.21;txt;6;5;338291;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;7;no;yes;595 x 842 pts (A4);1.4;0;50;42;51;22;289
F197;.19;txt;2;7;159215;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F198;.39;ocr;30;0;728555;Canon iR-ADV C5235  PDF ;Adobe PSL 1.2e for Canon ;no;none;11;no;yes;595.2 x 841.44 pts;1.4;0;1;1;1;0;0
F199;.19;ocr;30;0;728554;Canon iR-ADV C5235  PDF ;Adobe PSL 1.2e for Canon ;no;none;11;no;yes;595.2 x 841.44 pts;1.4;0;1;1;1;0;0
F200;.08;ocr;3;4;343650;PFU ScanSnap Manager 6.2.24 #iX500 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: Adobe PDF Scan Library 3.2) ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;29;11;11;1;91
F201;.03;txt;2;8;79223;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;no;595 x 842 pts (A4);1.4;0;36;63;63;9;268
F202;.10;ocr;1;0;44100;none;iText 1.4.5 (by lowagie.com) ;no;none;1;no;yes;595 x 842 pts (A4);1.4;0;1;0;0;0;0
F203;.10;txt;0;2;58508;Aspose.Words ;Aspose.Words for .NET 10.0.0.0 ;no;none;2;no;yes;595.15 x 841.75 pts (A4);1.5;0;46;18;18;25;324
F204;.15;ocr;643;0;1869727;PDFCreator Version 1.7.1 ;GPL Ghostscript 9.07 ;no;none;37;no;no;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F205;.29;txt;2;2;68280;PDFCreator Version 1.7.1 ;GPL Ghostscript 9.07 ;no;none;1;no;no;595 x 842 pts (A4);1.4;0;40;0;0;13;238
F206;.09;txt;3;7;465084;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F207;.72;ocr;4;3;107094;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F208;.07;ocr;2;0;289240;LTEscaner.Exe ;EZTwain Pro 3.30b28 using EZPdf 1.52 ;no;none;2;no;yes;592.8 x 841.92 pts;1.4;0;1;1;1;0;0
F209;.08;ocr;2;0;363556;LTEscaner.Exe ;EZTwain Pro 3.30b28 using EZPdf 1.52 ;no;none;2;no;yes;595.2 x 843.36 pts (A4);1.4;0;1;1;1;0;0
F210;.12;ocr;5;0;84308;WorkCentre 7125 ;WorkCentre 7125 ;no;none;5;no;yes;595.44 x 842.4 pts (A4);1.4;0;1;1;1;0;0
F211;.06;txt;0;3;9222;PScript5.dll Version 5.2.2 ;AFPL Ghostscript 8.50 ;no;none;1;no;yes;595 x 842 pts (A4);1.3;0;32;0;0;8;197
F212;.10;ocr;3;3;123229;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F213;.08;ocr;4;0;254507;Canon iR-ADV 6055                ;Adobe PSL 1.1e for Canon ;no;none;4;no;yes;594.36 x 840.78 pts;1.4;0;1;1;1;0;0
F214;.02;txt;0;7;28066;Microsoft® Office Word 2007 ;Microsoft® Office Word 2007 ;yes;none;1;no;yes;595.32 x 842.04 pts (A4);1.5;0;33;0;0;10;214
F215;.04;ocr;2;0;69221;Gestion Juridica;http://www.adultpdf.com ;no;none;2;no;yes;594 x 792 pts;1.4;0;1;1;1;0;0
F216;.09;ocr;5;0;1124812;LTEscaner.Exe ;EZTwain Pro 3.30b28 using EZPdf 1.52 ;no;none;5;no;yes;600 x 840.96 pts;1.6;0;1;1;1;0;0
F217;.10;ocr;4;0;199319;LTEscaner.Exe ;EZTwain Pro 3.30b28 using EZPdf 1.52 ;no;none;4;no;yes;581.76 x 835.68 pts;1.4;0;1;1;1;0;0
F218;.10;ocr;20;0;5628007;LTEscaner.Exe ;EZTwain Pro 3.30b28 using EZPdf 1.52 ;no;none;20;no;yes;588.96 x 839.4 pts;1.4;0;1;1;1;0;0
F219;.07;ocr;1;0;289277;LTEscaner.Exe ;EZTwain Pro 3.30b28 using EZPdf 1.52 ;no;none;1;no;yes;600.48 x 841.92 pts;1.4;0;1;0;0;0;0
F220;.05;ocr;1;0;73997;Sistemas Juridicos ;Gateway Software Productions, PDF_OCX v1.5 ;no;none;1;no;yes;595.2 x 841.68 pts;1.4;0;1;0;0;0;0
F221;.04;txt;1;3;99645;none;EVO HTML to PDF Converter 5.6 ;no;AcroForm;1;no;yes;612 x 842 pts;1.5;0;39;0;0;9;36
F222;.25;ocr;2;0;69191;PDFlib ;PDFlib 3.03 (CSS) ;no;none;2;no;yes;595.2 x 840.96 pts;1.3;0;1;1;1;0;0
F223;.31;txt;1;2;72382;none;EVO HTML to PDF Converter 5.6 ;no;none;1;no;yes;612 x 842 pts;1.5;0;40;0;0;8;34
F224;.42;ocr;2;0;320385;none; ;no;none;2;no;yes;612 x 846 pts;1.3;0;1;1;1;0;0
F225;.16;ocr;2;0;54366;Gestion Juridica;http://www.adultpdf.com ;no;none;2;no;yes;594 x 792 pts;1.4;0;1;1;1;0;0
F226;.16;txt;4;7;199352;none;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F227;.14;txt;4;13;344003;Aspose.Words ;Aspose.Pdf.Kit for .NET 5.4.0.0 ;no;AcroForm;4;no;no;595.35 x 841.95 pts (A4);1.6;0;80;26;30;3;456
